7.4,67
8,72
12.6,74
11.5,62
14.3,56
14.9,66
8.6,65
13.8,59
20.1,61
8.6,69
6.9,74
9.7,69
9.2,66
10.9,68
13.2,58
11.5,64
12,66
18.4,57
11.5,68
9.7,62
9.7,59
16.6,73
9.7,61
12,61
16.6,57
14.9,58
8,57
12,67
14.9,81
5.7,79
7.4,76
8.6,78
9.7,74
16.1,67
9.2,84
8.6,85
14.3,79
9.7,82
6.9,87
13.8,90
11.5,87
10.9,93
9.2,92
8,82
13.8,80
11.5,79
14.9,77
20.7,72
9.2,65
11.5,73
10.3,76
6.3,77
1.7,76
4.6,76
6.3,76
8,75
8,78
10.3,73
11.5,80
14.9,77
8,83
4.1,84
9.2,85
9.2,81
10.9,84
4.6,83
10.9,83
5.1,88
6.3,92
5.7,92
7.4,89
8.6,82
14.3,73
14.9,81
14.9,91
14.3,80
6.9,81
10.3,82
6.3,84
5.1,87
11.5,85
6.9,74
9.7,81
11.5,82
8.6,86
8,85
8.6,82
12,86
7.4,88
7.4,86
7.4,83
9.2,81
6.9,81
13.8,81
7.4,82
6.9,86
7.4,85
4.6,87
4,89
10.3,90
8,90
8.6,92
11.5,86
11.5,86
11.5,82
9.7,80
11.5,79
10.3,77
6.3,79
7.4,76
10.9,78
10.3,78
15.5,77
14.3,72
12.6,75
9.7,79
3.4,81
8,86
5.7,88
9.7,97
2.3,94
6.3,96
6.3,94
6.9,91
5.1,92
2.8,93
4.6,93
7.4,87
15.5,84
10.9,80
10.3,78
10.9,75
9.7,73
14.9,81
15.5,76
6.3,77
10.9,71
11.5,71
6.9,78
13.8,67
10.3,76
10.3,68
8,82
12.6,64
9.2,71
10.3,81
10.3,69
16.6,63
6.9,70
13.2,77
14.3,75
8,76
11.5,68
